algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
D*Lite,20x20,9,Local Cost Spiking,0,1,34,165.0,5.760248750448227,4,3,373,5.47453761100769,,10,5,5,50
UCS,40x40,0,Local Cost Spiking,0,1,86,298.0,15.201292932033539,9,8,8525,14.958128333091736,,10,5,5,50
A*,40x40,0,Local Cost Spiking,0,1,86,363.0,14.507459476590157,9,8,7106,14.257913455367088,,10,5,5,50
wA*,40x40,0,Local Cost Spiking,0,1,78,325.0,17.446085810661316,8,7,8311,17.19837263226509,2.0,10,5,5,50
GBFS,40x40,0,Local Cost Spiking,0,1,74,791.0,0.46399980783462524,8,7,320,0.38520805537700653,,10,5,5,50
D*Lite,40x40,0,Local Cost Spiking,0,1,78,334.0,24.337541311979294,8,7,1563,23.577673360705376,,10,5,5,50
UCS,40x40,1,Local Cost Spiking,0,1,74,279.0,14.971541240811348,8,7,8455,14.743752777576447,,10,5,5,50
A*,40x40,1,Local Cost Spiking,0,1,74,333.0,15.873249620199203,8,7,7729,15.654167160391808,,10,5,5,50
wA*,40x40,1,Local Cost Spiking,0,1,74,327.0,17.03179068863392,8,7,7846,16.769789159297943,2.0,10,5,5,50
GBFS,40x40,1,Local Cost Spiking,0,1,74,746.0,0.526081770658493,8,7,320,0.43704360723495483,,10,5,5,50
D*Lite,40x40,1,Local Cost Spiking,0,1,74,337.0,25.55404044687748,8,7,1547,24.75820854306221,,10,5,5,50
UCS,40x40,2,Local Cost Spiking,0,1,76,282.0,14.850584790110588,8,7,8274,14.612171798944473,,10,5,5,50
A*,40x40,2,Local Cost Spiking,0,1,76,282.0,14.919376000761986,8,7,7227,14.666413888335228,,10,5,5,50
wA*,40x40,2,Local Cost Spiking,0,1,76,282.0,12.68874667584896,8,7,5759,12.477416545152664,2.0,10,5,5,50
GBFS,40x40,2,Local Cost Spiking,0,1,74,504.0,0.5170814692974091,8,7,320,0.42863190174102783,,10,5,5,50
D*Lite,40x40,2,Local Cost Spiking,0,1,76,291.0,29.635334387421608,8,7,1571,28.79246696829796,,10,5,5,50
UCS,40x40,3,Local Cost Spiking,0,1,76,257.0,14.960667118430138,8,7,8216,14.723245054483414,,10,5,5,50
A*,40x40,3,Local Cost Spiking,0,1,78,298.0,16.098540276288986,8,7,7643,15.868797898292542,,10,5,5,50
wA*,40x40,3,Local Cost Spiking,0,1,76,270.0,13.38704489171505,8,7,6095,13.177203014492989,2.0,10,5,5,50
GBFS,40x40,3,Local Cost Spiking,0,1,74,692.0,0.5340427160263062,8,7,320,0.4472881555557251,,10,5,5,50
D*Lite,40x40,3,Local Cost Spiking,0,1,76,270.0,24.109043180942535,8,7,1527,23.35979975759983,,10,5,5,50
UCS,40x40,4,Local Cost Spiking,0,1,74,272.0,14.928918331861496,8,7,8281,14.694254845380783,,10,5,5,50
A*,40x40,4,Local Cost Spiking,0,1,74,280.0,15.830792486667633,8,7,7378,15.588916838169098,,10,5,5,50
wA*,40x40,4,Local Cost Spiking,0,1,74,284.0,14.504708349704742,8,7,6533,14.279333874583244,2.0,10,5,5,50
GBFS,40x40,4,Local Cost Spiking,0,1,74,669.0,0.5045831203460693,8,7,320,0.42020902037620544,,10,5,5,50
D*Lite,40x40,4,Local Cost Spiking,0,1,74,284.0,24.14470724761486,8,7,1514,23.269418627023697,,10,5,5,50
UCS,40x40,5,Local Cost Spiking,0,1,76,305.0,15.176540240645409,8,7,8231,14.931291341781616,,10,5,5,50
A*,40x40,5,Local Cost Spiking,0,1,84,350.0,15.7169159501791,9,8,7443,15.467992052435875,,10,5,5,50
wA*,40x40,5,Local Cost Spiking,0,1,76,311.0,14.78683389723301,8,7,6718,14.54666256904602,2.0,10,5,5,50
GBFS,40x40,5,Local Cost Spiking,0,1,74,691.0,0.5123335868120193,8,7,320,0.4294179379940033,,10,5,5,50
D*Lite,40x40,5,Local Cost Spiking,0,1,76,303.0,24.716584011912346,8,7,1584,23.88754114508629,,10,5,5,50
UCS,40x40,6,Local Cost Spiking,0,1,76,299.0,15.076791867613792,8,7,8469,14.840831980109215,,10,5,5,50
A*,40x40,6,Local Cost Spiking,0,1,80,307.0,14.243999496102333,8,7,6960,14.030789956450462,,10,5,5,50
wA*,40x40,6,Local Cost Spiking,0,1,74,274.0,13.800336048007011,8,7,6425,13.58366385102272,2.0,10,5,5,50
GBFS,40x40,6,Local Cost Spiking,0,1,74,820.0,0.4781670868396759,8,7,320,0.3978721797466278,,10,5,5,50
D*Lite,40x40,6,Local Cost Spiking,0,1,74,294.0,25.415165349841118,8,7,1632,24.53729510307312,,10,5,5,50
UCS,40x40,7,Local Cost Spiking,0,1,74,291.0,15.008334070444107,8,7,8266,14.774413779377937,,10,5,5,50
A*,40x40,7,Local Cost Spiking,0,1,74,258.0,16.074292361736298,8,7,7562,15.835041180253029,,10,5,5,50
wA*,40x40,7,Local Cost Spiking,0,1,74,258.0,14.013208448886871,8,7,6341,13.797953724861145,2.0,10,5,5,50
GBFS,40x40,7,Local Cost Spiking,0,1,74,635.0,0.49166567623615265,8,7,320,0.40728598833084106,,10,5,5,50
D*Lite,40x40,7,Local Cost Spiking,0,1,74,258.0,24.13816750049591,8,7,1507,23.349545896053314,,10,5,5,50
UCS,40x40,8,Local Cost Spiking,0,1,78,274.0,15.61829075217247,8,7,8508,15.370877459645271,,10,5,5,50
A*,40x40,8,Local Cost Spiking,0,1,78,286.0,14.634793624281883,8,7,7215,14.402873814105988,,10,5,5,50
wA*,40x40,8,Local Cost Spiking,0,1,80,301.0,11.2424585968256,8,7,5222,11.049039661884308,2.0,10,5,5,50
GBFS,40x40,8,Local Cost Spiking,0,1,74,607.0,0.49108266830444336,8,7,320,0.4058424383401871,,10,5,5,50
D*Lite,40x40,8,Local Cost Spiking,0,1,78,286.0,24.118291214108467,8,7,1568,23.35737831890583,,10,5,5,50
UCS,40x40,9,Local Cost Spiking,0,1,78,256.0,14.7616658359766,8,7,8429,14.52833041548729,,10,5,5,50
