algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
D*Lite,20x20,9,Local Cost Spiking,0,1,34,165.0,5.375666543841362,4,3,373,5.106749013066292,,10,5,5,50
UCS,40x40,0,Local Cost Spiking,0,1,86,298.0,14.472458511590958,9,8,8525,14.230750501155853,,10,5,5,50
A*,40x40,0,Local Cost Spiking,0,1,86,363.0,13.809917494654655,9,8,7106,13.574667274951935,,10,5,5,50
wA*,40x40,0,Local Cost Spiking,0,1,78,325.0,16.643082723021507,8,7,8311,16.411790624260902,2.0,10,5,5,50
GBFS,40x40,0,Local Cost Spiking,0,1,74,791.0,0.4497915506362915,8,7,320,0.37475116550922394,,10,5,5,50
D*Lite,40x40,0,Local Cost Spiking,0,1,78,334.0,23.03900010883808,8,7,1563,22.317249327898026,,10,5,5,50
UCS,40x40,1,Local Cost Spiking,0,1,74,279.0,14.260625466704369,8,7,8455,14.02762345969677,,10,5,5,50
A*,40x40,1,Local Cost Spiking,0,1,74,333.0,14.96608555316925,8,7,7729,14.737458899617195,,10,5,5,50
wA*,40x40,1,Local Cost Spiking,0,1,74,327.0,17.1795841306448,8,7,7846,16.915541142225266,2.0,10,5,5,50
GBFS,40x40,1,Local Cost Spiking,0,1,74,746.0,0.48020854592323303,8,7,320,0.40075182914733887,,10,5,5,50
D*Lite,40x40,1,Local Cost Spiking,0,1,74,337.0,25.219833478331566,8,7,1547,24.3939608335495,,10,5,5,50
UCS,40x40,2,Local Cost Spiking,0,1,76,282.0,15.422791242599487,8,7,8274,15.134457498788834,,10,5,5,50
A*,40x40,2,Local Cost Spiking,0,1,76,282.0,15.252416953444481,8,7,7227,14.988917857408524,,10,5,5,50
wA*,40x40,2,Local Cost Spiking,0,1,76,282.0,13.782249763607979,8,7,5759,13.489127159118652,2.0,10,5,5,50
GBFS,40x40,2,Local Cost Spiking,0,1,74,504.0,0.549832358956337,8,7,320,0.44229067862033844,,10,5,5,50
D*Lite,40x40,2,Local Cost Spiking,0,1,76,291.0,31.17924928665161,8,7,1571,30.33941611647606,,10,5,5,50
UCS,40x40,3,Local Cost Spiking,0,1,76,257.0,14.942416921257973,8,7,8216,14.68687690794468,,10,5,5,50
A*,40x40,3,Local Cost Spiking,0,1,78,298.0,15.769166871905327,8,7,7643,15.531787648797035,,10,5,5,50
wA*,40x40,3,Local Cost Spiking,0,1,76,270.0,12.968959286808968,8,7,6095,12.752162292599678,2.0,10,5,5,50
