algorithm,size,seed,found,path_len,total_cost,nodes_expanded,runtime_ms,w
A*,80x80,0,1,155,460.0,6070,12.772208079695702,
wA*,80x80,0,1,155,460.0,6063,13.489125296473503,2.0
GBFS,80x80,0,1,155,778.0,155,0.21183490753173828,
D*Lite,80x80,0,1,155,460.0,6076,93.64791586995125,
UCS,80x80,1,1,157,467.0,6083,11.568084359169006,
A*,80x80,1,1,157,467.0,6081,12.930916622281075,
wA*,80x80,1,1,157,467.0,6097,13.581626117229462,2.0
GBFS,80x80,1,1,155,785.0,155,0.21800026297569275,
D*Lite,80x80,1,1,157,467.0,6084,92.09029003977776,
UCS,80x80,2,1,155,458.0,6082,11.193916201591492,
A*,80x80,2,1,155,458.0,6080,12.837082147598267,
wA*,80x80,2,1,155,458.0,6107,13.551456853747368,2.0
GBFS,80x80,2,1,155,830.0,155,0.20821020007133484,
D*Lite,80x80,2,1,155,458.0,6084,93.07241812348366,
UCS,80x80,3,1,157,444.0,6076,11.43195852637291,
A*,80x80,3,1,157,444.0,6053,13.027125969529152,
wA*,80x80,3,1,157,444.0,5413,12.433873489499092,2.0
GBFS,80x80,3,1,155,780.0,155,0.21570734679698944,
D*Lite,80x80,3,1,157,444.0,6084,90.93254245817661,
UCS,80x80,4,1,161,452.0,6083,11.181123554706573,
A*,80x80,4,1,161,452.0,6078,12.792916968464851,
wA*,80x80,4,1,161,452.0,5999,13.439668342471123,2.0
GBFS,80x80,4,1,155,759.0,155,0.20949915051460266,
D*Lite,80x80,4,1,159,452.0,6084,92.3316664993763,
UCS,80x80,5,1,155,448.0,6079,11.389456689357758,
A*,80x80,5,1,155,448.0,6068,12.860331684350967,
wA*,80x80,5,1,155,448.0,5736,13.256918638944626,2.0
GBFS,80x80,5,1,155,749.0,155,0.22462569177150726,
D*Lite,80x80,5,1,155,448.0,6083,92.22075156867504,
UCS,80x80,6,1,155,453.0,6084,11.196918785572052,
A*,80x80,6,1,155,453.0,6083,12.931376695632935,
wA*,80x80,6,1,155,453.0,5995,13.451334089040756,2.0
GBFS,80x80,6,1,155,733.0,155,0.21012499928474426,
D*Lite,80x80,6,1,155,453.0,6084,92.48533099889755,
UCS,80x80,7,1,155,455.0,6071,11.39904372394085,
A*,80x80,7,1,155,455.0,6051,13.090001419186592,
wA*,80x80,7,1,155,455.0,6011,13.615168631076813,2.0
GBFS,80x80,7,1,155,780.0,155,0.21800026297569275,
D*Lite,80x80,7,1,155,455.0,6084,90.93495830893517,
UCS,80x80,8,1,155,451.0,6083,11.168500408530235,
A*,80x80,8,1,155,451.0,6082,12.769082561135292,
wA*,80x80,8,1,155,451.0,6085,13.688167557120323,2.0
GBFS,80x80,8,1,155,785.0,155,0.21025165915489197,
D*Lite,80x80,8,1,155,451.0,6083,92.25766733288765,
UCS,80x80,9,1,157,447.0,6079,11.348042637109756,
A*,80x80,9,1,157,447.0,6072,13.026291504502296,
wA*,80x80,9,1,157,447.0,6059,13.617625460028648,2.0
GBFS,80x80,9,1,155,710.0,155,0.20837411284446716,
D*Lite,80x80,9,1,157,447.0,6084,90.85850045084953,
